Date,Page Title,Age,Gender,Source / Medium,Pageviews,Unique Pageviews
20190609,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,m.facebook.com / referral,6855,6120
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,45-54,female,facebook.com / social,6854,5652
20190602,7 Retro Fashion Trends That Are In (Plus 2 That Are Out) | Who What Wear,55-64,female,newsletter / email,6757,5864
20190630,7 Spring Fashion Trends for Every Age | Who What Wear,55-64,female,www-whowhatwear-com.cdn.ampproject.org / referral,6752,5371
20190611,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,25-34,female,m.facebook.com / referral,6737,5176
20190620,5 Trends Fashion Girls Are Wearing to the Beach | Who What Wear,55-64,female,from.flipboard.com / referral,6681,5180
20190617,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,45-54,female,m.facebook.com / referral,6589,5229
20190612,6 Summer Trends L.A. Girls Actually Wear Year-Round | Who What Wear,25-34,female,newsletter / email,6574,5536
20190618,Jennifer Aniston Wore the Wedge-Heel Shoe Trend | Who What Wear,25-34,female,m.facebook.com / referral,6564,5699
20190627,Summer Wedding Makeup | Who What Wear,25-34,female,m.facebook.com / referral,6546,5838
20190608,We Tried On the 13 Biggest Summer Trends at Zara | Who What Wear,25-34,female,m.facebook.com / referral,6508,5587
20190610,Here's What to Add to Your Wardrobe in June | Who What Wear,25-34,female,newsletter / email,6494,5321
20190610,12 Pretty Summer Dresses From Our Favorite Celebrities | Who What Wear,25-34,female,newsletter / email,6466,5131
20190611,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,35-44,female,m.facebook.com / referral,6466,4840
20190609,The Only 31 Zara Items NYC Girls Are Buying This Summer | Who What Wear,25-34,female,newsletter / email,6442,5472
20190628,ZoÃ« Kravitz Wore Bike Shorts to Her Paris Wedding Rehearsal | Who What Wear,25-34,female,likeshop.me / referral,6402,5115
20190626,Summer Wedding Makeup | Who What Wear,25-34,female,m.facebook.com / referral,6348,5741
20190618,6 Makeup Tips for Women Over 40 From a Makeup Artist | Who What Wear,45-54,female,m.facebook.com / referral,6329,5598
20190627,Summer Workout Outfit Trends | Who What Wear,35-44,female,m.facebook.com / referral,6290,5479
20190613,The Best Ways to Apply Blush for Every Face Shape | Who What Wear UK,45-54,female,m.facebook.com / referral,6282,5394
20190606,The 5 Summer Handbag Trends We're Already Seeing Everywhere | Who What Wear,35-44,female,newsletter / email,6270,5207
20190629,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,6244,5306
20190603,6 Clothing Basics Women Over 50 Never Forget to Buy | Who What Wear,45-54,female,newsletter / email,6230,4908
20190622,"The 16 Best Fashion and Beauty Items at Target, Hands Down | Who What Wear",55-64,female,newsletter / email,6225,5009
20190628,8 '90s Jewelry Trends You'll See Everywhere This Season | Who What Wear,25-34,female,newsletter / email,6207,5267
20190630,6 Things Not to Wear in Summerâ€”and 6 to Wear Instead | Who What Wear,55-64,female,from.flipboard.com / referral,6165,5211
20190621,6 Items an Over-50 Fashion Influencer Wears on Repeat | Who What Wear,35-44,female,newsletter / email,6110,4381
20190617,The French Beauty Products Women Over 50 Love | Who What Wear,55-64,female,from.flipboard.com / referral,6109,4992
20190622,24 of the Best Tanning Bikinis to Minimize Lines | Who What Wear,65+,male,yahoo.com / referral,6093,4691
20190604,The 19 Best Shopping Picks for May 2019 | Who What Wear,55-64,female,newsletter / email,6092,5293
20190622,The Best Miami Summer Trends for Under $100 | Who What Wear,35-44,female,m.facebook.com / referral,6069,5061
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,65+,female,m.facebook.com / referral,6062,5485
20190604,The 19 Best Shopping Picks for May 2019 | Who What Wear,45-54,female,newsletter / email,6061,5001
20190615,7 Outdated Shoe Trends for 2019â€”and What's in Instead | Who What Wear,55-64,female,newsletter / email,6044,5069
20190625,"33 Items New York Girls Buy From H&M, Topshop, and ASOS | Who What Wear",35-44,female,newsletter / email,6006,4977
20190611,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,65+,female,from.flipboard.com / referral,6003,4225
